params,accuracy,f1_score
"(64, 32)-0.001-300",0.9090909090909091,0.6666666666666666
"(64, 32)-0.001-500",0.9090909090909091,0.6666666666666666
"(64, 32)-0.0005-300",0.9545454545454546,0.8
"(64, 32)-0.0005-500",0.9090909090909091,0.6666666666666666
"(128, 64)-0.001-300",0.9545454545454546,0.8
"(128, 64)-0.001-500",0.9090909090909091,0.6666666666666666
"(128, 64)-0.0005-300",0.9545454545454546,0.8
"(128, 64)-0.0005-500",0.9545454545454546,0.8
"(256, 128)-0.001-300",0.9545454545454546,0.8
"(256, 128)-0.001-500",0.9545454545454546,0.8
"(256, 128)-0.0005-300",0.9545454545454546,0.8
"(256, 128)-0.0005-500",0.9545454545454546,0.8
