params,accuracy,f1_score
"(64, 32)-0.001-300",0.8333333333333334,0.0
"(64, 32)-0.001-500",0.8333333333333334,0.0
"(64, 32)-0.0005-300",0.8333333333333334,0.0
"(64, 32)-0.0005-500",0.8333333333333334,0.0
"(128, 64)-0.001-300",0.8333333333333334,0.0
"(128, 64)-0.001-500",0.8333333333333334,0.0
"(128, 64)-0.0005-300",0.8333333333333334,0.0
"(128, 64)-0.0005-500",0.8333333333333334,0.0
"(256, 128)-0.001-300",0.8055555555555556,0.0
"(256, 128)-0.001-500",0.8055555555555556,0.0
"(256, 128)-0.0005-300",0.7777777777777778,0.0
"(256, 128)-0.0005-500",0.8055555555555556,0.0
